In Module,For Class,Method,Instance ID,Descendants,Descendant Methods IDs
Time Core,Time Review Event,Time Review Event@ Process Billable Transactions for Worker Time Block(PRU)*P*S+PA,54$50344,"Billable Transaction@process Worker Time Block Billing Rate Rules Re-Calc(PU)*P*S(public)[pumb]+PA

Instance@get This Instance(GSS)(public)[rsmb]

Time Review Event@get Time Review Event.groups Worker Time Block(GR)","19$128880,11$26980,19$128879"
Time Core,Time Review Event,Time Review Event@ Process Standard Cost and Fully Burdened Cost for Worker Time Block(PRU)*P*S+PA,54$50345,"Derived_WTB@get Derived_WTB for Project Cost(IOP)*P*S(public)[rsmb]

Derived_WTB@ Update Project Cost from Derived WTB(DPU)[pumb]

Time Review Event@get Time Review Event.groups Worker Time Block(GR)","2663$33924,5014$1608"
Time Core,Time Review Event,Time Review Event@ Create Event Lite for Time Periods Covered by TRE(PRU)*P*S+PA,54$50346,"Period@process Create Event Lites for Periods covered by Time Review Event(PU)*P*S[pumb]+???

Time Review Event@get Time Review Event.groups Worker Time Block(GR)

Worker Event@get Worker Event.applies to Worker(GR)(public)*O","11$16154,19$53004"
Time Core,Time Review Event,Time Review Event@ Process Blocks and Offsets for Worker Time Block(PRU)*P*S+PA,54$50347,"Common Boolean@get True(GAS)*S(public)[ramb]

Instance@get This Instance(GSS)(public)[rsmb]

Time Review Event@get Time End Date(GA)*O

Time Review Event@get Time Review Event.groups Worker Time Block(GR)

Time Review Event@get Time Start Date(GA)*O

Time Tracking Set Up Option@get Time Block Approved(GSI)*S(public)[rsmb]

Worker Event@get Worker Event.applies to Worker(GR)(public)*O

Worker Time Block@process Update to Time Block Approved and Create Billable Time Block Offset(PU)[pumb]",11$32314
Time Core,Worker Time Block,Worker Time Block@ Worker Time Block /Worker Time Block [Nonsingular] /Update Worker Time Block times(PRU)*P*S+PA,54$50772,Instance@process Update Worker Time Block times(PU)(public)[pumb]+???+PA,"12$12320,12$12321,24$25857,207$16866,2663$37235,18$59114,18$59115,13038$3451,11$14"
Time Core,Worker Time Block,Worker Time Block@ Worker Time Block /Worker Time Block Selections /Common(PRU)*P*S+PA,54$52347,"Common Boolean@get True(GAS)*S(public)[ramb]

Common Instance Set@get Empty Set(GSS)*S(public)[rsmb]

Instance@process Common(PU)(public)[pumb]

Worker Time Block@get Worker Time Blocks created on or after Timestamp(IOP)*P*S[rsmb]+PA",11$14
Time Core,Time Off Event,Time Off Event@ Process Normalization Factor for Affected Project Time Blocks(PRU)*P*S+???+PA,54$52451,"Action Event@is Event State is Completed Successfully(EBE)*P(public)[ramb]+PA

Derived_WTB@get Derived_WTB for Normalization Factor(IOP)*P*S[rsmb]+???+PA

Derived_WTB@ Update Normalization Factor from Derived WTB(DPU)[pumb]

Time Off Event@get Maximum Date from Event Content(GRA)[ramb]

Time Off Event@get Minimum Date from Event Content(GRA)[ramb]

Worker Coordinated Time Block@filter Blocks grouped by event (excl. Deleted)(SS)*P*S[rsmb]+PA

Worker Event@get Worker Event.applies to Worker(GR)(public)*O","40$16065,40$47746,19$7778,66$3,40$24452,66$37,40$24453,19$125701,2663$48774,40$24454,19$91431,26$93800,19$107368,19$107369,19$32106,2663$27722,5014$1805,40$12078,2663$52178,40$12084,2663$37912,2663$37913,40$23805,40$23806"
Time Core,Time Manager Approval Setup,Time Manager Approval Setup@ Time Manager Approval Setup /Time Manager Approval Setup Options / /Common-Reference ID(PRU)*S+PA,54$53216,"Instance@add New or Get Process Instance from parm(GSS)*P*S(public)[rsmb]

Reference Index@process Common-Reference ID(PU)(public)[pumb]+PA

Time Manager Approval Setup@get Time Manager Approval Setup Singleton(GI)*S[rsmb]","52$11264,12$4097,12$48130,12$24578,30$46082,12$18436,12$18437,12$32774,12$18438,12$18439,12$18440,12$18441,30$35849,12$2058,12$5130,12$18442,12$5131,12$18443,12$47119,12$13328,12$12305,12$10258,12$18,52$16402,12$1043,12$3097,12$21531,52$29731,52$25635,52$26660,12$37,12$6184,65$41,12$22571,12$1068,12$2093,12$16429,12$16431,52$11311,12$4143,52$24625,12$28727,52$24637,12$22590,12$4160,12$10305,12$21574,12$34888,52$4169,12$6218,12$12363,12$49228,12$14414,12$4179,12$12378,52$25693,52$26718,52$24670,12$30815,12$4194,12$7269,12$42088,12$44137,30$25706,30$5227,12$29809,12$41078,12$46206,13038$11391,12$46208,12$14466,12$20613,12$47237,12$48267,52$22669,12$48269,52$20622,52$20623,12$48271,52$20624,12$21650,52$20627,12$3221,12$26775,12$19609,30$38042,12$40092,12$26781,12$20640,12$4256,52$27808,12$20641,12$4258,12$21667,12$4259,12$164,12$40101,12$36007,12$40104,12$17576,12$16553,12$29865,12$9385,12$16554,12$9386,12$16558,52$26800,12$9393,30$37041,12$2226,12$46258,52$25779,30$15540,12$9397,52$25781,30$36022,12$30903,12$45241,12$3258,52$25788,12$22716,12$9406,12$47296,12$9410,12$9413,12$47301,52$25798,12$4295,12$9415,52$25799,52$28872,12$9416,12$1225,12$9417,12$9419,12$9420,30$26828,12$23757,30$26830,12$4303,12$23761,12$23762,30$25810,30$4306,12$8404,52$26836,12$3285,12$9429,52$26837,12$17622,12$9431,12$2263,12$47320,12$9432,12$9433,12$47323,52$23773,12$6365,12$7390,52$20702,12$47329,12$46306,12$9443,12$6372,12$6374,30$46310,12$6376,12$21736,12$13549,52$4333,12$3310,30$15598,30$37102,12$3311,12$9456,52$26864,12$21744,12$21746,12$41204,12$4340,52$15607,52$27895,52$23800,12$6393,30$38140,12$1276,12$17663,66$5376,52$25856,12$16641,12$16643,52$27907,30$46339,12$7428,30$46340,12$4357,12$22789,12$16646,12$22790,12$21767,12$265,12$5386,12$16652,52$22798,12$13587,12$41236,52$9492,12$24853,12$4378,52$4378,52$24859,12$22813,12$11550,12$4382,12$10529,12$16674,52$24868,12$28964,52$24869,12$33061,52$20773,52$24870,11$15654,12$9514,52$23853,30$7474,52$23861,12$25909,52$23862,12$2358,12$15674,12$42298,52$24890,52$28987,12$42300,12$4415,12$36159,12$11584,12$21824,12$36160,12$321,12$47426,12$35138,52$9543,12$17736,12$4426,12$32077,12$6478,52$20815,12$32080,12$21842,12$16723,12$1366,12$25943,52$20827,12$18784,12$4448,12$8545,30$32097,30$32098,12$23907,12$18790,12$18792,52$28008,12$362,12$33131,52$30061,12$17777,12$21876,12$9588,12$16758,12$16759,12$34169,12$31097,12$25980,52$21884,52$15741,12$4478,52$15742,12$39294,52$15743,52$29057,52$30084,52$30086,12$16775,12$35208,30$34185,12$393,12$1420,12$396,11$5517,12$2447,52$15759,52$22927,12$22930,12$4499,12$35220,12$4501,52$30106,12$39324,12$4509,12$38303,12$22947,12$22948,12$22950,12$4519,12$16807,12$4526,12$4531,12$2483,12$3509,12$3510,52$28088,12$16826,12$12732,12$4540,12$4541,12$44477,12$4546,12$8645,12$35274,12$29132,12$38349,12$44493,12$35278,12$9678,30$42446,12$11726,52$20943,18$71120,12$39381,12$2517,52$29143,12$7640,52$26074,52$21981,52$21982,52$21983,12$41443,52$30180,12$19940,12$20968,12$31208,12$8683,12$44525,12$29166,12$2542,12$29167,12$23026,30$32242,52$23027,12$2547,12$23027,52$26100,12$23029,12$1526,12$43510,52$28152,52$29178,12$25085,12$30207,12$20992,12$7686,12$13834,52$28173,12$34317,30$37397,12$11802,12$11803,12$32287,12$20000,52$30240,52$30241,12$3622,52$23078,30$44584,12$16938,30$38447,12$5680,12$18992,12$27187,12$11828,12$36405,12$17975,12$30264,12$11832,12$17977,12$3646,12$30272,12$32320,12$3648,12$3649,12$16962,12$3650,12$13895,12$24135,12$33355,12$1612,30$36429,12$40529,12$40531,12$40532,12$3670,12$28246,12$7766,12$16983,12$39511,12$16984,30$7768,12$1625,52$16985,12$40540,66$9821,12$29278,12$21086,12$23134,12$18016,12$3680,52$26209,12$22116,12$1636,12$22117,12$11877,12$25190,12$3687,52$23143,12$2664,12$37483,11$7788,12$621,12$3693,12$7791,12$21106,12$24178,12$25206,52$26230,52$26231,12$25207,52$26232,12$22139,12$5760,12$3713,12$17028,12$27268,12$3718,12$3719,52$26249,52$24204,12$4750,30$37518,12$3726,12$3727,12$21139,12$6803,12$21140,12$660,12$40599,12$11929,12$3740,52$3742,52$27296,12$22177,52$27297,12$3746,12$41635,52$25254,12$34472,12$28328,12$10921,12$48811,12$20141,12$8878,52$23214,12$20143,12$20144,12$11952,12$19121,30$32434,52$27315,12$32437,12$33462,12$5815,12$36537,12$4794,12$11963,12$5819,12$35516,12$10942,12$44743,52$11978,12$6861,30$16080,12$21203,12$32471,30$45786,12$19162,52$26330,30$45787,30$25308,30$14044,12$14045,30$14045,30$32478,30$32479,30$45793,12$41697,12$3811,12$1764,12$45800,30$34536,12$27368,12$45801,12$5865,12$20205,12$19182,52$9969,12$29426,12$6898,12$6899,12$20211,12$6900,52$23284,12$9973,52$9973,12$46838,30$34552,12$9977,12$49924,12$772,12$773,12$774,12$38665,12$779,12$5900,12$29459,12$1814,12$1815,52$26391,52$24344,12$12057,12$23322,12$39707,12$3867,12$3870,12$29471,12$2849,12$28450,12$27427,12$48937,12$11050,12$4906,12$23344,12$23346,30$24371,52$24373,30$822,30$31543,12$29495,30$41784,12$23352,12$4920,30$41785,12$23354,12$29498,12$827,52$4926,12$3902,12$7999,12$8001,30$36673,12$31554,12$21316,12$36676,12$3908,12$21317,12$845,12$16211,12$16213,12$4949,52$9047,52$9048,52$28509,52$9054,12$5983,12$8032,12$7010,12$36706,30$39780,12$7014,12$7017,12$7019,12$41838,12$41839,12$14195,12$4981,12$13173,12$8055,12$4983,12$4984,12$4985,12$46975,12$6016,12$46977,12$7041,52$9091,12$15237,12$45959,12$6024,12$15241,12$9098,12$23434,12$1930,12$9099,12$38797,52$27537,12$40850,12$43922,12$1940,12$20376,12$34712,12$3993,12$40857,12$3994,12$40858,12$3995,12$2972,12$40860,12$3996,12$45980,12$40861,52$22434,30$42914,12$5028,12$5029,12$32678,12$5031,12$5032,12$5033,12$5034,52$27563,12$5035,12$6061,12$39853,12$5037,12$49070,52$24495,12$2994,52$21427,12$947,12$20403,12$29619,52$6072,12$3001,12$12219,12$3004,12$960,12$22464,12$41921,12$962,30$36803,12$32707,12$3011,12$33735,12$40905,12$49098,12$5068,12$22477,30$46032,12$17360,12$2000,12$28625,12$34773,52$8149,12$22485,52$8150,52$28633,12$36826,12$7132,13038$14301,12$38879,12$25568,12$7136,12$17379,12$12259,12$17380,12$7141,12$2021,12$32742,52$26598,12$7144,30$1000,12$32744,12$42985,52$29676,52$29677,12$29681,12$15346,12$29682,52$8181,12$5112,12$48122,12$43003,52$14334"
Time Core,Time Manager Approval Setup,Time Manager Approval Setup@ Time Total Option Joiner /Time Manager Approval Setup Totals /Time Approval Setup.has total Time Total Option Joiner /Common --AUTO--(PRU),54$53217,Instance@process Common(PU)(public)[pumb],11$14
Time Core,Time Review Event,Time Review Event@ Update Tax Authorities on Worker Time Blocks(PRU)*P*S+???+PA,54$53704,"Derived_WTB@get Derived_WTBs for Tax Authorities Update(IOP)*P*S[rsmb]

Derived_WTB@ Update Tax Authorities from Derived WTB(DPU)[pumb]

Worker Time Block@filter Worker Time Blocks need to update Tax Authorities for TRE(SS)*P*S[rsmb]+PA","5014$1898,2663$40094"
Time Core,Worker Time Block,Worker Time Block@ Autofill from Schedule for Time Tracking API Parameter parm(PRU)*P*S,54$54615,Worker Time Block@process Mass Autofill From Schedule(PU)*P*S[pumb]+???+PA,"207$40513,13039$3522,66$3,65$3,207$41988,24$33030,207$21320,207$21321,207$21771,13038$7500,92$24,26$72216,19$109213,26$25950,66$1438,19$109214,207$41697,19$7778,207$21285,207$21286,11$33575,207$21287,26$76589,12$24559,12$24560,12$11697,12$11698,12$11701,12$11702,207$40509"
Time Core,Time Tracking API (Derived),Time Tracking API (Derived)@ Delete and Mark Dropped block NOT Submitted(PRU)*P*S+???+PA,54$55590,"Common Instance Set@get Calculated Blocks for Reported Blocks NOT in Calculated Block Set(SS)*P*S(public)[rsmb]+PA

Worker Time Block@process Calculated Block to be Dropped(PU)[pumb]",11$35981
Time Core,Worker Time Block,"Worker Time Block@ Delete, Unapprove and reset status on block(PRU)+PA",54$55591,"Common Boolean@get False(GAS)*S(public)[ramb]

Common Boolean@get True(GAS)*S(public)[ramb]

Instance@get This Instance(GSS)(public)[rsmb]

Instance@process Common(PU)(public)[pumb]

Worker Time Block@get Status Never Submitted or Not Submitted (if Approved)(SSC)[rsmb]","65$3,11$14"
Time Core,Time Manager Approval Setup,Time Manager Approval Setup@ Time Manager Approval Setup /Time Manager Approval Setup Data / /Common-Reference ID --AUTO--(PRU),54$59262,"Instance@get This Instance(GSS)(public)[rsmb]

Reference Index@process Common-Reference ID(PU)(public)[pumb]+PA","52$11264,12$4097,12$48130,12$24578,30$46082,65$3,12$18436,12$18437,12$32774,12$18438,12$18439,12$18440,12$18441,30$35849,12$2058,12$5130,12$18442,12$5131,12$18443,12$47119,12$13328,12$12305,12$10258,12$18,52$16402,12$1043,12$3097,12$21531,52$29731,52$25635,52$26660,12$37,12$6184,12$22571,12$1068,12$2093,12$16429,12$16431,52$11311,12$4143,52$24625,12$28727,52$24637,12$22590,12$4160,12$10305,12$21574,12$34888,52$4169,12$6218,12$12363,12$49228,12$14414,12$4179,12$12378,52$25693,52$26718,52$24670,12$30815,12$4194,12$7269,12$42088,12$44137,30$25706,30$5227,12$29809,12$41078,12$46206,13038$11391,12$46208,12$14466,12$20613,12$47237,12$48267,52$22669,12$48269,52$20622,52$20623,12$48271,52$20624,12$21650,52$20627,12$3221,12$26775,12$19609,30$38042,12$40092,12$26781,12$20640,12$4256,52$27808,12$20641,12$4258,12$21667,12$4259,12$164,12$40101,12$36007,12$40104,12$17576,12$16553,12$29865,12$9385,12$16554,12$9386,12$16558,52$26800,12$9393,30$37041,12$2226,12$46258,52$25779,30$15540,12$9397,52$25781,30$36022,12$30903,12$45241,12$3258,52$25788,12$22716,12$9406,12$47296,12$9410,12$9413,12$47301,52$25798,12$4295,12$9415,52$25799,52$28872,12$9416,12$1225,12$9417,12$9419,12$9420,30$26828,12$23757,30$26830,12$4303,12$23761,12$23762,30$25810,30$4306,12$8404,52$26836,12$3285,12$9429,52$26837,12$17622,12$9431,12$2263,12$47320,12$9432,12$9433,12$47323,52$23773,12$6365,12$7390,52$20702,12$47329,12$46306,12$9443,12$6372,12$6374,30$46310,12$6376,12$21736,12$13549,52$4333,12$3310,30$15598,30$37102,12$3311,12$9456,52$26864,12$21744,12$21746,12$41204,12$4340,52$15607,52$27895,52$23800,12$6393,30$38140,12$1276,12$17663,66$5376,52$25856,12$16641,12$16643,52$27907,30$46339,12$7428,30$46340,12$4357,12$22789,12$16646,12$22790,12$21767,12$265,12$5386,12$16652,52$22798,12$13587,12$41236,52$9492,12$24853,12$4378,52$4378,52$24859,12$22813,12$11550,12$4382,12$10529,12$16674,52$24868,12$28964,52$24869,12$33061,52$20773,52$24870,11$15654,12$9514,52$23853,30$7474,52$23861,12$25909,52$23862,12$2358,12$15674,12$42298,52$24890,52$28987,12$42300,12$4415,12$36159,12$11584,12$21824,12$36160,12$321,12$47426,12$35138,52$9543,12$17736,12$4426,12$32077,12$6478,52$20815,12$32080,12$21842,12$16723,12$1366,12$25943,52$20827,12$18784,12$4448,12$8545,30$32097,30$32098,12$23907,12$18790,12$18792,52$28008,12$362,12$33131,52$30061,12$17777,12$21876,12$9588,12$16758,12$16759,12$34169,12$31097,12$25980,52$21884,52$15741,12$4478,52$15742,12$39294,52$15743,52$29057,52$30084,52$30086,12$16775,12$35208,30$34185,12$393,12$1420,12$396,11$5517,12$2447,52$15759,52$22927,12$22930,12$4499,12$35220,12$4501,52$30106,12$39324,12$4509,12$38303,12$22947,12$22948,12$22950,12$4519,12$16807,12$4526,12$4531,12$2483,12$3509,12$3510,52$28088,12$16826,12$12732,12$4540,12$4541,12$44477,12$4546,12$8645,12$35274,12$29132,12$38349,12$44493,12$35278,12$9678,30$42446,12$11726,52$20943,18$71120,12$39381,12$2517,52$29143,12$7640,52$26074,52$21981,52$21982,52$21983,12$41443,52$30180,12$19940,12$20968,12$31208,12$8683,12$44525,12$29166,12$2542,12$29167,12$23026,30$32242,52$23027,12$2547,12$23027,52$26100,12$23029,12$1526,12$43510,52$28152,52$29178,12$25085,12$30207,12$20992,12$7686,12$13834,52$28173,12$34317,30$37397,12$11802,12$11803,12$32287,12$20000,52$30240,52$30241,12$3622,52$23078,30$44584,12$16938,30$38447,12$5680,12$18992,12$27187,12$11828,12$36405,12$17975,12$30264,12$11832,12$17977,12$3646,12$30272,12$32320,12$3648,12$3649,12$16962,12$3650,12$13895,12$24135,12$33355,12$1612,30$36429,12$40529,12$40531,12$40532,12$3670,12$28246,12$7766,12$16983,12$39511,12$16984,30$7768,12$1625,52$16985,12$40540,66$9821,12$29278,12$21086,12$23134,12$18016,12$3680,52$26209,12$22116,12$1636,12$22117,12$11877,12$25190,12$3687,52$23143,12$2664,12$37483,11$7788,12$621,12$3693,12$7791,12$21106,12$24178,12$25206,52$26230,52$26231,12$25207,52$26232,12$22139,12$5760,12$3713,12$17028,12$27268,12$3718,12$3719,52$26249,52$24204,12$4750,30$37518,12$3726,12$3727,12$21139,12$6803,12$21140,12$660,12$40599,12$11929,12$3740,52$3742,52$27296,12$22177,52$27297,12$3746,12$41635,52$25254,12$34472,12$28328,12$10921,12$48811,12$20141,12$8878,52$23214,12$20143,12$20144,12$11952,12$19121,30$32434,52$27315,12$32437,12$33462,12$5815,12$36537,12$4794,12$11963,12$5819,12$35516,12$10942,12$44743,52$11978,12$6861,30$16080,12$21203,12$32471,30$45786,12$19162,52$26330,30$45787,30$25308,30$14044,12$14045,30$14045,30$32478,30$32479,30$45793,12$41697,12$3811,12$1764,12$45800,30$34536,12$27368,12$45801,12$5865,12$20205,12$19182,52$9969,12$29426,12$6898,12$6899,12$20211,12$6900,52$23284,12$9973,52$9973,12$46838,30$34552,12$9977,12$49924,12$772,12$773,12$774,12$38665,12$779,12$5900,12$29459,12$1814,12$1815,52$26391,52$24344,12$12057,12$23322,12$39707,12$3867,12$3870,12$29471,12$2849,12$28450,12$27427,12$48937,12$11050,12$4906,12$23344,12$23346,30$24371,52$24373,30$822,30$31543,12$29495,30$41784,12$23352,12$4920,30$41785,12$23354,12$29498,12$827,52$4926,12$3902,12$7999,12$8001,30$36673,12$31554,12$21316,12$36676,12$3908,12$21317,12$845,12$16211,12$16213,12$4949,52$9047,52$9048,52$28509,52$9054,12$5983,12$8032,12$7010,12$36706,30$39780,12$7014,12$7017,12$7019,12$41838,12$41839,12$14195,12$4981,12$13173,12$8055,12$4983,12$4984,12$4985,12$46975,12$6016,12$46977,12$7041,52$9091,12$15237,12$45959,12$6024,12$15241,12$9098,12$23434,12$1930,12$9099,12$38797,52$27537,12$40850,12$43922,12$1940,12$20376,12$34712,12$3993,12$40857,12$3994,12$40858,12$3995,12$2972,12$40860,12$3996,12$45980,12$40861,52$22434,30$42914,12$5028,12$5029,12$32678,12$5031,12$5032,12$5033,12$5034,52$27563,12$5035,12$6061,12$39853,12$5037,12$49070,52$24495,12$2994,52$21427,12$947,12$20403,12$29619,52$6072,12$3001,12$12219,12$3004,12$960,12$22464,12$41921,12$962,30$36803,12$32707,12$3011,12$33735,12$40905,12$49098,12$5068,12$22477,30$46032,12$17360,12$2000,12$28625,12$34773,52$8149,12$22485,52$8150,52$28633,12$36826,12$7132,13038$14301,12$38879,12$25568,12$7136,12$17379,12$12259,12$17380,12$7141,12$2021,12$32742,52$26598,12$7144,30$1000,12$32744,12$42985,52$29676,52$29677,12$29681,12$15346,12$29682,52$8181,12$5112,12$48122,12$43003,52$14334"
Time Core,Worker Coordinated Time Block,Worker Coordinated Time Block@ Worker Coordinated Time Block /Enter Time Day / /Enter Time Day(PRU)*P*S,54$61530,Time Tracking Day (derived)@process Enter Time Day(PU)*P*S[pumb]+PA,"26$78084,11$40430"
Time Core,Worker Coordinated Time Block,Worker Coordinated Time Block@delete Original Time Off Entry Instance(PRU)*P*S+???,54$61531,"Common Instance Set@is Class of Worker Coordinated Time Block Process Instance == Worker Time Block(EBE)*P*S(public)[ramb]+PA

Instance@process Common-Delete(PU)(public)[pumb]",11$20
Time Core,Worker Coordinated Time Block,Worker Coordinated Time Block@delete Original Worker Time Block Instance(PRU)*P*S+???,54$61532,"Common Instance Set@is Class of Worker Coordinated Time Block Process Instance == Time Off Entry(EBE)*P*S(public)[ramb]+PA

Instance@process Common setting Time Block Deleted to TRUE(PU)(public)[pumb]+PA","66$3,11$14"
Time Core,Worker Coordinated Time Block,Worker Coordinated Time Block@process Worker Coordinated Time Block /Enter Time Block / /Worker Coordinated Time Block(PRU)*P*S+???,54$61533,"Instance@add New or Get Process Instance from parm(GSS)*P*S(public)[rsmb]

Worker Coordinated Time Block@process Worker Coordinated Time Block(PU)*P[pumb]","11$40432,65$41,11$40428,11$40431"
Time Core,Worker Time Block,Worker Time Block@assign Worker Time Block /Autofill Time Block Detail Subview / /Automatic Assignment Only --AUTO--(PRU),54$63233,"Instance@get This Instance(GSS)(public)[rsmb]

Instance@process Automatic Assignment Only(PU)(public)[pumb]","65$3,11$2700"
Time Core,Incomplete Worker Time Block (Derived),Incomplete Worker Time Block (Derived)@process new or updated Incomplete WTB from parms(PRU)*P+PA,54$63397,"Incomplete Worker Time Block (Derived)@get Incomplete Worker Time Block (Derived).modifies Incomplete Worker Time Block(GR)

Instance@add New Incomplete WTB or Get Process Instance from parm(GSS)*P*S(public)[rsmb]+PA

Instance@get Comment(GA)(public)

Instance@process Common(PU)(public)[pumb]

Time Tag@get Custom Organization Dimension 1(IOP)*P*S[rsmb]+PA

Time Tag@get Custom Organization Dimension 10(IOP)*P*S[rsmb]+PA

Time Tag@get Custom Organization Dimension 2(IOP)*P*S[rsmb]+PA

Time Tag@get Custom Organization Dimension 3(IOP)*P*S[rsmb]+PA

Time Tag@get Custom Organization Dimension 4(IOP)*P*S[rsmb]+PA

Time Tag@get Custom Organization Dimension 5(IOP)*P*S[rsmb]+PA

Time Tag@get Custom Organization Dimension 6(IOP)*P*S[rsmb]+PA

Time Tag@get Custom Organization Dimension 7(IOP)*P*S[rsmb]+PA

Time Tag@get Custom Organization Dimension 8(IOP)*P*S[rsmb]+PA

Time Tag@get Custom Organization Dimension 9(IOP)*P*S[rsmb]+PA

Time Tracking Taggable@get Time Tracking Taggable.reported Currency(GR)

Time Tracking Taggable@get WTB Override Rate(GA)

Worker Coordinated Time Block@get Time Block Reported Time In(GA)

Worker Time@get Modified Date Time of Worker Time(GA)

Worker Time@get Supervisory Organization for Worker Time(GRS)[rsmb]+DT

Worker Time@get Time Block Date(GA)

Worker Time@get Time Entry Code(GR)

Worker Time@get Worker Time.created by Worker(GR)

Worker Time@get Worker Time.for Employment(GR)

Worker Time@get Worker Time.for Worker(GR)

Worker Time@get Worker Time.has billing recommendation Time Tracking Set Up Option(GR)

Worker Time@get Worker Time.has time type Project(GR)

Worker Time@get Worker Time.has time type Project Plan Task(GR)

Worker Time@get Worker Time.has Worker Document(GR)

Worker Time@get Worker Time.has Worker Time Source(GR)

Worker Time@get Worker Time.out type Time Punch Type(GR)","65$41,40$40878,11$14"
Time Core,Worker Coordinated Time Block,Worker Coordinated Time Block@ Worker Coordinated Time Block /Worker Coordinated Time Block [Singular] /Common(PRU)*P*S+???+PA,54$64114,"Common Boolean@get True(GAS)*S(public)[ramb]

Instance@process Common(PU)(public)[pumb]+???

Instance@process Common-Delete the Old Time Off Entry or Incomplete Worker Time Block(PU)(public)[pumb]+???

Worker Coordinated Time Block@is New Instance incompatible with Old Instance(EBE)*P*S[ramb]+PA","91$3970,11$20,66$12381,66$12382,11$14"
Time Core,Worker Coordinated Time Block,Worker Coordinated Time Block@ Worker Coordinated Time Block /Worker Coordinated Time Block [Singular] /Common-Delete the Old Time Off Entry or Incomplete Worker Time Block(PRU)*P*S+???+PA,54$64238,"Common Boolean@get True(GAS)*S(public)[ramb]

Instance@process Common-Delete the Old Time Off Entry or Incomplete Worker Time Block(PU)(public)[pumb]+???

Worker Time Block@process Soft-Delete Worker Time Block(PU)[pumb]+???","11$20,11$16828,66$12381,66$12382"
Time Core,Worker Time Block Group,Worker Time Block Group@ Worker Time Block /Worker Time Block Group.groups Worker Time Block /Automatic Assignment Only(PRU)+PA,54$65797,"Instance@process Automatic Assignment Only(PU)(public)[pumb]

Worker Time Block@get Proration Factor(GA)

Worker Time Block Group@get Worker Time Block Group.groups Worker Time Block(GR)","207$21572,11$2700"
Time Core,Time Off Event,Time Off Event@ Process Time Blocks with Proration Factor(PRU)+???+PA,54$65798,"Project Prorated Cost Definition@is Project Prorated Cost Definition Defined(EBE)*S(public)[ramb]

Time Off Event@get End Date for Time Off Event or Time Review Event(GAS)*(abstract)[ramb]

Time Off Event@get Start Date of Project Week(SAC)*P*S[ramb]+PA

Worker Event@get Worker Event.applies to Worker(GR)(public)*O

Worker Time Block Group@get Group for each Week(IOP)*P*S[rsmb]+???+PA

Worker Time Block Group@process Proration Factor(PU)[pumb]+???","19$47297,19$127809,35$4834,19$7778,30$130,35$1667,66$3,207$21572,19$91431,19$115527,35$392,19$130282,2663$64043,2663$70156,30$366,19$93298,19$132820,19$59766,19$51863,11$43836,40$23805,92$222,40$23806"
Time Core,Worker Coordinated Time Block,Worker Coordinated Time Block@ Worker Coordinated Time Block /Enter Time Block Any Type / /Enter Time Block Any Type(PRU)*P*S,54$66542,"Instance@add New or Get Process Instance from parm(GSS)*P*S(public)[rsmb]+???

Worker Coordinated Time Block@process Enter Time Block Any Type(PU)[pumb]+PA","2663$37236,207$28821,40$10375,11$13863,65$41,40$16330,24$77,40$23806"
Time Core,Worker Coordinated Time Block,Worker Coordinated Time Block@delete Pre-Existing Blocks no longer on Elements(PRU)*P*S+PA,54$66543,"Common Boolean@get True(GAS)*S(public)[ramb]

Common Instance Set@get Pre-Existing Blocks No Longer on Elements(SS)*P*S(public)[rsmb]+PA

Instance@process Delete Time Off Entry(PU)(public)[pumb]+???

Instance@process Mark WTB deleted(PU)(public)[pumb]+???+PA","65$3,66$3,11$20,2663$6391,11$14"
Time Core,Worker Coordinated Time Block,Worker Coordinated Time Block@ Worker Coordinated Time Block /Enter Time Block Hours Units Only / /Enter Time Block Any Type(PRU)*P*S,54$66544,"Instance@add New or Get Process Instance from parm(GSS)*P*S(public)[rsmb]+???

Worker Coordinated Time Block@process Enter Time Block Any Type(PU)[pumb]+PA","2663$37236,207$28821,40$10375,11$13863,65$41,40$16330,24$77,40$23806"
Time Core,User Overtime Request Block,User Overtime Request Block@ Calculated Overtime Request Block /Derived CORBs split at multiple Day Breakers (On) | one Day Breaker (Off) /Calculated Overtime Request Block(PRU)*P+???,54$67056,"Calculated Overtime Request Block@ Calculated Overtime Request Block(DPU)[pumb]

Overtime Request Block@is In/Out Block(EBE)[ramb]","2663$66194,5014$3474,2663$69069"
Time Core,Overtime Request Event,Overtime Request Event@ Overtime Request Block /Overtime Request Event.records User Overtime Request Block /Automatic Assignment Only(PRU)+PA,54$67058,"Instance@process Automatic Assignment Only(PU)(public)[pumb]

Overtime Request Event@get Overtime Request Event.records User Overtime Request Block(GR)

Time Tracking Set Up Option@get Time Block Approved(GSI)*S(public)[rsmb]","207$61449,11$2700"
